FAQID,ClubFAQRef,ClubVersion,Question,Answer,Location,Key,Version
457,3238,0,امكان تكثير سطر به واسطه كليد F8 در فرم درخواست برگشتي امكان پذير است؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
458,3239,0,چگونه ميتوان از ثبت كننده هر فرم گزارش تهيه كرد؟,در فرم درخواست برگشتي با استفاده از كليد هاي تركيبي Ctrl+H، و يا علامت سپيدار را انتخاب كرده، كليد  نمايش ثبت كنندگان  را انتخاب كنيد. نام  كاربر و ساعتي كه كاربر فعاليت مورد نظر را انجام داده نمايش داده ميشود.  همچنين در صورتي كه ميخواهيد به صورت يكجا زمان و كاربر ايجاد كننده را مشاهده نماييد، در فهرست درخواست هاي برگشتي، از انتخابگر ستون، ستون زمان ايجاد و صادر كننده را انتخاب كنيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
459,3240,0,آيا با ثبت درخواست برگشتي سيستم موجودي كالا را افزايش ميدهد؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
460,3241,0,چگونه ميتوان درخواست برگشتي را  حذف  نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت فهرست درخواست هاي برگشتي را باز كنيد ، مورد مورد نظر را انتخاب كليك راست كرده و حذف را انتخاب كنيد,درخواست برگشتي جديد,Distribution/ReturnOrder,0
461,3242,0,در زمان حذف درخواست برگشتي خطا ميدهد : وضعيت درخواست برگشتي مقداري به غير از  ثبت شده  است و قابل حذف نيست. راهكار چيست؟,ابتدا بايد وضعيت درخواست را به حالت ثبت شده برسانيد، سپس درخواست مورد نظر را حذف كنيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
462,3243,0,آيا براي درخواست برگشتي سند حسابداري صادر ميشود ؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
463,3244,0,آيا ميتوان درخواست برگشتي براي خدمات ثبت كرد؟,بله.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
464,3245,0,آيا امكان ثبت خودكار فاكتور برگشتي بر مبناي درخواست برگشتي در سيستم امكان پذير است؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
465,3246,0,نحوه ثبت درخواست برگشتي جديد به وسيله بسته محصول در سيستم چگونه است؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت عمليات درخواست فروش برگشتي جديد را باز كنيد، اطلاعات مورد نظر در هدر از جمله تاريخ، نام مشتري، آدرس مشتري، نام واسط و نوع فروش را تكميل كنيد. با استفاده از علامت بسته محصول در پايين صفحه، بسته محصولي كه از قبل تعريف نموديد و تعداد بسته محصول را انتخاب كنيد في را وارد كنيد و در نهايت ذخيره كنيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
466,3247,0,كاربرد كليد محاسبه تخفيف در فرم درخواست برگشتي چيست ؟,در صورتي كه قفل كاربر داراي ويژگي فروش پيشرفته باشد كليد محاسبه تخفيف را در پايين فرم درخواست فروش مشاهده مينمايند و كاربرد آن به اين صورت است كه اگر در سيستم فروش تخفيفي تعريف شده باشد با انتخاب اين گزينه تخفيف براي اين درخواست محاسبه مي شود.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
467,3248,0,آيا امكان ثبت درخواست برگشتي براي مشتريان فاقد نشاني وجود دارد؟,بله، فيلد آدرس در درخواست برگشتي اجباري نيست.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
468,3249,0,چگونه ميتوان در درخواست برگشتي توضيحات اضافي و تكميلي تري را وارد نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت عمليات  درخواست برگشتي را انتخاب كنيد به دو صورت ميتوان توضيحات تكميلي وارد نمود :  1.در هدر درخواست برگشتي فيلد توضيحات را تكميل كنيد.  2.وارد تب اطلاعات تكميلي شده و توضيحات مورد نظرتان را درج نمائيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
469,3250,0,آيا امكان تكثير درخواست برگشتي در سيستم وجود دارد ؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
470,3251,0,به چند صورت ميتوان درخواست برگشتي را به فاكتور برگشتي تبديل كرد؟,به دو شيوه مي توان بر مبناي درخواست برگشتي ، فاكتور برگشتي صادر كرد :  1- در فرم درخواست برگشتي از بالاي صفحه بر روي آيكون صدور فاكتور برگشتي كليك نماييد تا فاكتور مربوطه صادر شود.(نكته درخواست بايد در وضعيت تائيد شده باشد )  2- در فرم فاكتور برگشتي بعد از تكميل اطلاعات هدر + زرد رنگ پايين صفحه را انتخاب كنيد،گزينه شماره درخواست برگشتي را باز كرده و از سلكتور شماره درخواست مورد نظر را انتخاب كنيد، بدين صورت تمامي اطلاعات از داخل درخواست برگشتي فراخواني خواهد شد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
471,3252,0,آيا ميتوان بر مبناي درخواست برگشتي، برگشت خروج انبار صادر نمود؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
472,3253,0,آيا ميتوان بر مبناي درخواست برگشتي، اعلاميه پرداخت صادر نمود؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
473,3254,0,در فهرست درخواست برگشتي چرا سطر فيلتر قابل مشاهده نيست؟,فيلتر غير فعال شده است. جهت فعال نمودن اين گزينه، از منوي افقي زير صفحه گزينه  قيف آبي رنگ - فيلتر  را انتخاب نماييد.  ***توجه: با كليد تركيبي Ctrl+F اين گزينه را فعال نمود.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
474,3255,0,چگونه براي درخواست برگشتي ميتوان ماليات و عوارض لحاظ كرد؟,در فرم درخواست برگشتي بعد از انتخاب كالا و وارد نمودن تعداد و في در صورتي كه براي كالاي مورد نظر نرخ ماليات و عوارض مشخص شده باشد سيستم به صورت خودكار ماليات و عوارض را محاسبه مي كند. در غير اين صورت مي توان در دو فيلد ماليات و عوارض مبالغ مورد نظر را به صورت دستي وارد كرد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
475,3256,0,بعد از ثبت و ذخيره درخواست برگشتي چگونه ميتوان از آن پرينت/گزارش چاپ تهيه نمود؟,در فرم درخواست برگشتي ذخيره شده، از بالاي صفحه و از گزينه  چاپ  با توجه به نياز، يكي از گزارش هاي موجود را انتخاب كرده و گزارش چاپي تهيه نمائيد.   **نكته: گزارشات پيش فرض نرم افزار و گزارشات طراحي شده در اين قسمت قابل مشاهده خواهند بود.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
476,3257,0,به چه صورت ميتوان درخواست برگشتي را بصورت فايل در سيستم ذخيره نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت فهرست درخواست برگشتي را باز كرده درخواست مورد نظر را انتخاب ميكنيم علامت پرينت پايين صفحه را زده فرمت مورد نظر را انتخاب ميكنيم در پيش نمايش ظاهر شده علامت ذخيره را كليك كرده و فرمت ذخيره را انتخاب كرده ادرس محل ذخيره و نام فايل را انتخاب و تاييد نماييد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
477,3258,0,چگونه ميتوان در درخواست برگشتي به كالا ها به صورت سطر به سطر تخفيف اختصاص داد؟,در درخواست برگشتي روي سطر مورد نظر خود كليك كرده در پايين فرم كادري وجود دارد با عنوان تخفيف كه ميتوانيد مبلغ تخفيف هر سطر را در اين قسمت وارد كنيد. به سطرهاي بعد رفته و عمليات را تكرار كنيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
478,3259,0,چگونه مي توان  در درخواست برگشتي ، تخفيف كلي اعمال  كرد؟ چگونه مي توان كل تخفيف ها را حذف كرد؟,در درخواست برگشتي در پايين فرم، گزينه اي به نام تخفيف كلي وجود دارد ، با كليك برروي آن مي توان نرخ يا مبلغ تخفيف را مشخص نماييد. اين تخفيف، به تمام اقلام اعمال خواهد شد. براي حذف كلي تخفيف ها در پايين درخواست برگشتي، گزينه حذف كلي تخفيف ها وجود دارد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
479,3260,0,آيا در ثبت درخواست برگشتي امكان ثبت سريال براي كالايي كه داراي سريال است وجود دارد ؟,خير، سريال كالا را بايد در فاكتور برگشتي ثبت كنيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
480,3261,0,چگونه ميتوان در درخواست برگشتي ارزي، مبلغ به ارز پايه  را هم مشاهده نمود، راهكار چيست؟,در گوشه سمت چپ فرم درخواست برگشتي كادري وجود دارد كه تمامي مبالغ درخواست اعم از كل ، تخفيف ، اضافات ، ماليات و عوارض و خالص را هم به ارز پايه و هم ارز انتخاب شده در درخواست نمايش ميدهد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
481,3262,0,چگونه ميتوان درخواست هاي برگشتي ثبت شده بدون  ماليات و عوارض ارزش افزورده  را مشاهده نمود ؟,در منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت فهرست درخواست هاي برگشتي را باز كنيد  از ستون  ماليات و عوارض  گزينه  كوچكتر مساوي با  را فيلتر كرده و عدد   0  - صفر  را يادداشت كنيد ***توجه: در صورتي كه ستون هاي مذكور وجود نداشت، از پايين صفحه گزينه انتخابگر ستون را انتخاب كرده و از قسمت  انتخابگر ستون  در ليست باز شده مواردي كه لازم مي باشد را دوبار كليك كرده تا به ليست اضافه گردد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
482,3263,0,باتوجه به تخصيص اعلاميه قيمت براي كالاي خاص زماني كه درخواست برگشتي صادر ميگردد في بصورت خودكار درج نميشود .علت چيست ؟,درسيستم مشتريان و فروش ، اعلاميه قيمت ها را باز كنيد و نوع فروش انتخاب شده در اعلاميه قيمت مرتبط با كالاي مورد نظر را بررسي نمائيد و همان نوع فروش را در درخواست برگشتي انتخاب كنيد. همچنين بررسي نماييد اگر در اعلاميه قيمت رديابي يا گروه مشتري را انتخاب نموديد، همان شرايط را در درخواست برگشتي نيز رعايت كرده باشيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
483,3264,0,چگونه ميتوان بر اساس نوع فروش شماره گذاري درخواست برگشتي را تفكيك نمود؟,از منوي تنظيمات، از قسمت فهرست، فرم روش هاي شماره گذاري را باز كنيد. از نوار ابزار جستجوي بالاي فرم،درخواست برگشتي را جستجو كرده و كليك راست كرده و گزينه ويرايش را انتخاب كنيد. در پنجره باز شده، تيك نوع فروش را فعال كرده و فرم را ذخيره نماييد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
484,3265,0,چگونه ميتوان درخواست هاي برگشتي ثبت شده را مشاهده كرد؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از  قسمت فهرست، درخواست هاي برگشتي  را باز كنيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
485,3266,0,آيا ميتوان يك درخواست برگشتي را در چند مرحله برگشت داد و براي آن چند فاكتور برگشتي صادر كرد؟,خير.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
486,3267,0,آيا ميتوان درخواست هاي برگشتي را براساس آدرس مشتري فيلتر نمود ؟,براي اين منظور در فهرست درخواست هاي برگشتي از قسمت انتخابگر ستون، ستون آدرس مشتري را اضافه كرده و فيلتر را بر اين اساس انجام دهيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
487,3268,0,آيا ميتوان درخواست هاي برگشتي را براساس آدرس مشتري فيلتر نمود ؟,براي اين منظور در فهرست درخواست هاي برگشتي از قسمت انتخابگر ستون، ستون آدرس مشتري  را اضافه كرده و فيلتر را بر اين اساس انجام دهيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
488,3269,0,هنگام ثبت درخواست برگشتي خطا ميدهد:  به قبل از آخرين درخواست برگشتي نميتوان درخواست ديگري ثبت نمود.  راهكار چيست؟,از منوي تنظيمات، قسمت عمليات، فرم تنظيمات را باز كرده، از تب مشتريان و فروش، گزينه كنترل تاريخ در اسناد فروش را غير فعال كرده و فرم را ذخيره نماييد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
489,3270,0,درخواست برگشتي داراي چه وضعيت هايي مي باشد؟,1.ثبت شده  2.تائيد شده  3.رد شده  4.خاتمه يافته,درخواست برگشتي جديد,Distribution/ReturnOrder,0
490,3271,0,منظور از وضعيت خاتمه يافته در درخواست برگشتي چيست ؟,خاتمه يافته در درخواست به اين معناست كه كل ميزان تائيد شده درخواست به فاكتور برگشتي تبديل شده است.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
491,3272,0,به چه صورت ميتوان مانده حساب مشتري يا تامين كننده را در درخواست برگشتي مشاهده كرد؟,در زمان صدور درخواست برگشتي دو گزينه پايين صفحه با آيكن هاي سبز رنگ وجود دارند كه اگر با موس روي آن توقف كنيد عبارت  مانده حساب مشتري  و  مانده حساب تامين كننده  نمايش داده ميشود، در صورت كليك كردن روي اين گزينه مانده مشتري و تامين كننده نمايش داده ميشود.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
492,3273,0,نحوه جابه جا كردن اقلام در درخواست برگشتي چگونه است ؟,در فرم درخواست برگشتي سطر مورد نظر را انتخاب كنيد و با استفاده از كليدهاي ctrl+up و ctrl+down سطر مورد نظر را به بالا يا پايين انتقال دهيد.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
493,3274,0,چگونه ميتوان متوجه شد كدام درخواست از طريق موبايل و كدام يك مستقيما از طريق برنامه ثبت شده است ؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت فهرست درخواست برگشتي را باز كرده از قسمت انتخاب گر ستون ، ستون (ارسالي از دستگاه سفارش گيري) را به ليست اضافه كنيد مواردي كه تيك خورده است توسط موبايل سفارش گيري به برنامه منتقل شده است.,درخواست برگشتي جديد,Distribution/ReturnOrder,0
494,3275,0,چگونه ميتوان علت برگشت كالا را در درخواست برگشتي مشخص كرد؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت عمليات علت برگشت كالاي جديد را باز كنيد .عنوان علت برگشت كالا را وارد كرده و فرم را ذخيره كنيد.سپس در درخواست برگشتي بعد از انتخاب هر قلم كالا در انتهاي سطر در قسمت ساير علت برگشت كالا را از سلكتور مربوطه انتخاب كنيد .,درخواست برگشتي جديد,Distribution/ReturnOrder,0
495,3276,0,كاربرد عدم ثبت درخواست در سيستم سفارش گيري و پخش چيست ؟,يكي از موارد مهم كه در شركتهاي پخش مويرگي و حوزه پخش سرد به آن پرداخته مي شود موضوع عدم ثبت درخواست توسط ويزيتور است.به اين معنا كه علت عدم ثبت درخواست براي مشتري خاص كه در مسير ويزيت آن روز واسط قرار داشته چيست اين مفهوم توسط فرم عدم ثبت درخواست در سيستم سفارش گيري و پخش پوشش داده ميشود.,عدم ثبت درخواست جديد,Distribution/OrderingFailure,0
496,3277,0,چگونه ميتوان عدم ثبت درخواست جديد را در سيستم سفارش گيري و پخش ثبت نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از قسمت عمليات عدم ثبت درخواست جديد را باز كنيد ، تاريخ مورد نظر و واسطه را مشخص سپس بروز رساني ليست را انتخاب نماييد.ليستي از تمام مشترياني كه در مسير فعاليت واسطه حضور داشته و براي آنها درخواستي ثبت نشده در اختيار شما قرار ميگيرد از فيلد علت عدم انجام فعاليت سلكتور مربوطه را باز كرده و يكي از علل از پيش تعريف شده را انتخاب ، در صورت وجود توضيحات خاص فيلد توضيحات را تكميل و فرم را ذخيره نماييد.,عدم ثبت درخواست جديد,Distribution/OrderingFailure,0
497,3278,0,علت عدم نمايش نام مشتري در فرم عدم ثبت درخواست جديد چيست؟,1.براي مشتري درخواست ثبت شده باشد.   2.براي واسطه برنامه سفارش گيري ثبت نشده باشد.   3.به مسير (فعاليت) مشخص شده براي واسطه مشتري ارتباط نداده ايد.,عدم ثبت درخواست جديد,Distribution/OrderingFailure,0
498,3282,0,در فرم توزيع سرد حداقل و حداكثر ظرفيت وزني و حجمي چيست ؟,چنانچه در تعريف وسيله حمل حداقل و حداكثر وزني و حجمي وارد شده باشد با انتخاب وسيله حمل در فرم توزيع سرد اعداد از فرم وسيله حمل فراخواني ميشود و نشان داده ميشود و در صورت عدم رعايت اين شرايط سيستم هشدار لازم مبني بر اين مورد را به شما خواهد داد.,توزيع سرد جديد,Distribution/ColdDistribution,0
499,3283,0,بعد از ثبت و ذخيره عمليات توزيع سرد چگونه ميتوان از عمليات انجام شده پرينت/گزارش چاپ تهيه نمود؟,در فرم ذخيره شده، از بالاي صفحه و از گزينه  چاپ  با توجه به نياز، يكي از گزارش هاي موجود را انتخاب كرده و گزارش چاپي تهيه نمائيد.   **نكته: گزارشات پيش فرض نرم افزار و گزارشات طراحي شده در اين قسمت قابل مشاهده خواهند بود.,توزيع سرد جديد,Distribution/ColdDistribution,0
500,3284,0,از عمليات  توزيع سرد  به چند نوع ميتوان گزارش چاپي تهيه كرد؟,با دو فرمت :  1.اقلام آماده توزيع سرد افقي A4  2.ليست وصول براي توزيع سرد افقي A4.,توزيع سرد جديد,Distribution/ColdDistribution,0
501,3285,0,آيا ميتوان اولويت بندي فاكتور ها را در توزيع سرد مشخص كرد؟,در فرم توزيع سرد، سطر مورد نظر را انتخاب كنيد و  با استفاده از كليدهاي ctrl+up و ctrl+down سطر مورد نظر را به بالا يا پايين انتقال دهيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
502,3286,0,آيا ميتوان از فاكتور هاي فروش و برگشتي در فرم توزيع سرد پرينت تهيه كرد؟,بعد از ذخيره فرم توزيع سرد از پايين صفحه و از گزينه  چاپ  با توجه به نياز، يكي از گزارش هاي موجود را انتخاب كرده و گزارش چاپي تهيه نمائيد.   در اين قسمت كليه فرمت هاي پيش فرض و گزارشات طراحي شده كاربر براي فاكتور فروش و برگشتي را نمايش ميدهد.,توزيع سرد جديد,Distribution/ColdDistribution,0
503,3287,0,چگونه ميتوان براي فاكتور فروش هاي  انتخاب شده در فرم توزيع سرد خروج انبار صادر كرد؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از فهرست توزيع سرد را انتخاب كنيد ، توزيع سرد مورد نظر را انتخاب كليك راست و ويرايش كنيد.فاكتور مورد نظر را انتخاب كنيد و از پايين فرم گزينه صدور خروج انبار را انتخاب كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
504,3288,0,چگونه ميتوان در فرم توزيع سرد ، خروج انبار مرتبط با هر فاكتور را مشاهده نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از فهرست توزيع سرد را انتخاب كنيد، توزيع سرد مورد نظر را انتخاب كليك راست و ويرايش كنيد. فاكتور مورد نظر را پيدا كنيد، در ستون خروج انبار علامت ... را كليك كنيد، صفحه اي در اختيار شما قرار ميگيرد كه خروج انبار هاي مرتبط با اين فاكتور را نمايش ميدهد.,توزيع سرد جديد,Distribution/ColdDistribution,0
505,3289,0,براي اقلام فاكتور فروش در فرم توزيع سرد چه نوع خروج انباري صادر ميگردد؟ تحويل گيرنده كيست؟,خروج انبار از نوع فروش، تحويل گيرنده مشتري است.,توزيع سرد جديد,Distribution/ColdDistribution,0
506,3290,0,منظور از ستون علت عدم انجام فعاليت در فرم توزيع سرد چيست؟,در فرآيند توزيع سرد بنا به دلايلي ممكن است ويزيتور يا واسطه موفق به تحويل اقلام فروش رفته به مشتري يا دريافت اقلام برگشتي نشود، جهت پيگيري و كنترل مدير يا مسئول فروش ميتواند در اين قسمت علت عدم انجام فعاليت را جهت پيگيري هاي بعدي مشخص نمايد.,توزيع سرد جديد,Distribution/ColdDistribution,0
507,3291,0,به چند روش ميتوان فاكتور فروش در فرم توزيع سرد را تسويه نمود ؟,به دو روش :  1.فاكتور فروش مورد نظر را انتخاب كنيد از پايين فرم ثبت رسيد دريافت را انتخاب كنيد ،فرم رسيد دريافت در اختيار كاربر قرار ميگيرد و ميتواند به صورت نقد ، چك ، حواله يا كارتخوان وجه مورد نظر را دريافت كند.  2.فاكتور فروش مورد نظر را انتخاب كنيد از پايين فرم ليست وصول را انتخاب نماييد، در صفحه باز شده مبلغ تسويه شده نمايش داده ميشود در صورت نياز آن را ويرايش و فرم را ذخيره كنيد سپس از بالاي صفحه گزينه تسويه حساب را انتخاب كنيد، مبلغ نقد ، حواله يا اطلاعات چك دريافتي را وارد كنيد سپس بر روي گزينه صدور سند تسويه حساب كليك كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
508,3292,0,چگونه ميتوان علت عدم انجام فعاليت تسويه فاكتور فروش را در فرم توزيع سرد ثبت نمود؟,فاكتور فروش مورد نظر را انتخاب كنيد از پايين فرم ليست وصول را انتخاب نماييد، صفحه اي در اختيار شما قرار ميگيرد كه ميتوان علت عدم انجام فعاليت را مشخص نمود.,توزيع سرد جديد,Distribution/ColdDistribution,0
509,3293,0,چگونه ميتوان در فرم توزيع سرد ،تسويه حساب هاي مرتبط با هر فاكتور را مشاهده نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از فهرست توزيع سرد را انتخاب كنيد، توزيع سرد مورد نظر را انتخاب كليك راست و ويرايش كنيد. فاكتور مورد نظر را پيدا كنيد، در ستون رسيد تسويه علامت ... را كليك كنيد، صفحه اي در اختيار شما قرار ميگيرد كه تسويه هاي طرف مقابل مرتبط با اين فاكتور را نمايش ميدهد.,توزيع سرد جديد,Distribution/ColdDistribution,0
510,3294,0,در زمان حذف خروج انبار خطاي :   سند خروج انبار ... به تاريخ ... در توزيع پخش سرد با وضعيت خاتمه يافته استفاده شده است. امكان حذف آن وجود ندارد.      راهكار چيست ؟,علت خطا:  خروج انبار از فرم توزيع سرد صادر شده است و وضعيت فرم توزيع سرد خاتمه يافته است .راهكار : از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از فهرست توزيع سرد را انتخاب كنيد توزيع سرد مورد نظر را انتخاب كليك راست و ويرايش كنيد از بالاي صفحه گزينه برگشت از خاتمه توزيع را انتخاب كنيد سپس فاكتور مورد نظر را انتخاب كنيد و از پايين صفحه حذف خروج انبار را انتخاب كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
511,3295,0,چگونه ميتوان توزيع سرد را حذف نمود ؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده، از فهرست توزيع سرد را انتخاب كنيد، توزيع سرد مورد نظر را انتخاب سپس كليك راست كرده و حذف را انتخاب كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
512,3296,0,در زمان حذف توزيع سرد خطاي :   وضعيت اين ليست توزيع خاتمه يافته است. امكان حذف اين ليست وجود  ندارد.    راهكار چيست؟,ليست توزيع تنها در وضعيت ثبت شده قابل حذف مي باشد، ابتدا بايد برگشت خاتمه توزيع را انجام شود سپس عمليات حذف را انجام دهيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
513,3297,0,در زمان خاتمه توزيع سرد خطا ميدهد:    فاكتور فروش/فاكتور برگشتي تعيين تكليف نشده است.   راهكار چيست ؟,براي خاتمه توزيع ميبايست براي فاكتور هاي تحويل شده خروج و براي فاكتور برگشتي برگشت خروج انبار صادر كنيد و اگر اقلام مشروحه تحويل نشده يا دريافت نشده بايد علت عدم انجام فعاليت را مشخص نماييد سپس توزيع را خاتمه دهيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
514,3298,0,چگونه ميتوان براي فاكتور برگشتي  انتخاب شده در فرم توزيع سرد برگشت خروج انبار صادر كرد؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از فهرست توزيع سرد را انتخاب كنيد ، توزيع سرد مورد نظر را انتخاب كليك راست و ويرايش كنيد. در سربرگ فاكتور برگشتي ؛ فاكتور مورد نظر را انتخاب كنيد و از پايين فرم گزينه صدور سند برگشت خروج انبار را انتخاب كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
515,3299,0,چگونه ميتوان در فرم توزيع سرد، برگشت خروج انبار مرتبط با هر فاكتور را مشاهده نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده و از فهرست توزيع سرد را انتخاب كنيد، توزيع سرد مورد نظر را انتخاب كليك راست و ويرايش كنيد. در سربرگ فاكتور برگشتي، فاكتور مورد نظر را پيدا كنيد، در ستون برگشت خروج انبار علامت ... را كليك كنيد، صفحه اي در اختيار شما قرار ميگيرد كه برگشت خروج انبار هاي مرتبط با اين فاكتور را نمايش ميدهد.,توزيع سرد جديد,Distribution/ColdDistribution,0
516,3300,0,به چه صورت مي توان از صادركننده  توزيع سرد گزارش گرفت؟,براي گزارش گيري از صادر كننده توزيع ابتدا از منوي عمودي وارد سيستم سفارش گيري و پخش شده از قسمت فهرست توزيع سرد را باز كنيد، توزيع مورد نظر را انتخاب سپس كليك راست و ويرايش را بزنيد از قسمت آرم سپيدار نمايش ثبت كنندگان را انتخاب كنيد. همچنين ميتوانيد از كليد ميانبر CTRL+H استفاده كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
517,3301,0,در زمان حذف توزيع سرد خطاي :  اين ليست توزيع داراي حداقل يك فاكتور فروش يا فاكتور برگشتي با خروج انبار يا علت عدم انجام فعاليت است. امكان حذف اين ليست وجود ندارد.    راهكار چيست؟,ابتدا بايد خروج انبار يا برگشت خروج هاي صادر شده از فرم توزيع سرد را حذف كنيد همچنين اگر علت علت عدم انجام فعاليت مشخص شده حذف شود سپس توزيع سرد را حذف كنيد,توزيع سرد جديد,Distribution/ColdDistribution,0
518,3302,0,به چه دليل در فرم توزيع سرد نميتوان علت عدم انجام فعاليت را انتخاب كرد؟,براي فاكتور يا فاكتور برگشتي ، خروج يا برگشت خروج صادر شده است و نميتوان علت عدم انجام فعاليت تعيين كرد.,توزيع سرد جديد,Distribution/ColdDistribution,0
519,3303,0,به چه دليل فاكتور فروش در فرم توزيع سرد مشاهده نميشود؟,1. فاكتور فروش داراي خروج انبار است.  2. تاريخ فاكتور فروش بعد از تاريخ توزيع سرد است.,توزيع سرد جديد,Distribution/ColdDistribution,0
520,3304,0,آيا خروج انبار صادر شده از توزيع سرد از فهرست خروج انبار ها قابل حذف است ؟,بله.,توزيع سرد جديد,Distribution/ColdDistribution,0
521,3305,0,چگونه ميتوان در توزيع سرد توضيحات اضافي و تكميلي تري را وارد نمود؟,از منوي عمودي وارد سيستم سفارش گيري و پخش شده از منوي فهرست گزينه  توزيع سرد  را انتخاب كرده و توزيع مورد نظر را باز كنيد.  وارد تب  اطلاعات تكميلي  شده و توضيحات مورد نظر خود را درج نمائيد.   لازم به ذكر است توضيحات وارد شده در اطلاعات تكميلي در پرينت اقلام آماده توزيع سرد، نمايش داده خواهند شد.,توزيع سرد جديد,Distribution/ColdDistribution,0
522,3306,0,به چه دليل فاكتور برگشتي در فرم توزيع سرد مشاهده نميشود؟,1. فاكتور برگشتي داراي برگشت خروج انبار ميباشد.  2. تاريخ فاكتور برگشتي بعد از تاريخ توزيع سرد است.,توزيع سرد جديد,Distribution/ColdDistribution,0
523,1148,0,كاربرد فرم توزيع سرد در سيستم سفارش گيري و پخش چيست؟,در شركت هاي پخش مويرگي كه در حوزه پخش سرد فعاليت ميكنند، پس از تائيد درخواست ها و صدور فاكتور، عمليات توزيع اقلام به مشتريان اتفاق ميافتد. لذا در فرم توزيع سرد اقلام تحويلي به حوزه مورد نظر تحويل و نتيجه عمليات توزيع ثبت ميگردد.,توزيع سرد جديد,Distribution/ColdDistribution,0
524,1238,0,نحوه ثبت فرم توزيع سرد چگونه است؟,در هدر فرم واسطه ، وسيله حمل و تاريخ را انتخاب كنيد. از پايين فرم بر روي علامت + كليك كنيد و فاكتور فروش يا فاكتور هاي برگشتي تحويلي به وسيله حمل را انتخاب كنيد. سپس فرم را ذخيره كنيد.,توزيع سرد جديد,Distribution/ColdDistribution,0
